Stadtteile;Bevölkerung;Unter 18-Jährige; 65-Jährige und Ältere;Ausländerinnen und Ausländer;Bevölkerung mit Migrations-hintergrund;Unter 18-Jährige mit Migrations-hintergrund;Haushalte;Einpersonen-haushalte;Haushalte mit Kindern;Alleinerziehende;Bevölkerungs-dichte;Geburten;Sterbefälle;Zuzüge;Fortzüge;Wanderungssaldo;Sozial-versicherungs-pflichtig Beschäftigte (Juni 2017);Arbeitslose (Dez 2017);Jüngere Arbeitslose (Dez 2017);Ältere Arbeitslose (Dez 2017);Leistungs-empfänger/-innen nach SGB II (Dez 2017);Unter 15-Jährige in Mindestsicherung (Dez 2017);Bedarfs-gemeinschaften nach SGB II (Dez 2017);Lohn- und Einkommen-steuerpflichtige (2013);Gesamtbetrag der Einkünfte je Steuerpflichtigen in EUR (2013);Wohngebäude (2017);Wohnungen (2017);Bezugsfertige Wohnungen (2017);Wohnungen in Ein- und Zweifamilien-häusern (2017);Sozialwohnungen (Jan 2018);Sozialwohnungen mit Bindungsauslauf bis 2023;Preise für Grundstücke in EUR/m² (Jan 2018);Preise für Ein- bzw Zwei-familienhäuser in EUR/m² (Jan 2018);Preise für Eigentums-wohnungen in EUR/m² (Jan 2018);Kindergärten und Vorschulklassen (März 2018);Grundschulen (2017/2018);Schülerinnen und Schüler der Sekundarstufe I (2017/2018);Niedergelassene Ärzte (Jan 2018);Allgemeinärzte (Jan 2018);Zahnärzte (Dez 2017);Apotheken (Dez 2017);Private PKW (Jan 2018);PKW-Dichte (Jan 2018)
Winterhude; 55 651    ; 6 973    ; 8 101    ; 6 847    ; 13 449    ; 2 463    ; 35 750    ; 23 261    ; 4 691    ; 1 059    ; 7 338    ;777;340; 7 560    ; 7 224    ;336; 25 894    ; 1 356    ;95;259; 2 372    ;418; 1 610    ; 29 898    ; 51 627    ; 3 651    ; 32 860    ;256;725;552;82; 2 855    ; 7 014    ;5780;42;5; 1 642    ;230;39;78;14; 17 559    ;316
Uhlenhorst; 18 017    ; 2 274    ; 3 489    ; 1 940    ; 4 370    ;831; 11 448    ; 7 137    ; 1 554    ;307; 8 262    ;235;173; 2 504    ; 2 150    ;354; 7 548    ;340;9;65;425;56;317; 9 924    ; 62 479    ; 1 209    ; 10 729    ;79;243;179;-    ; 3 190    ;.    ;6530;10;1;528;91;23;19;4; 6 311    ;350
Hohenfelde; 10 030    ; 1 221    ; 1 586    ; 1 962    ; 3 685    ;737; 6 349    ; 4 187    ;711;151; 8 686    ;148;125; 1 739    ; 1 646    ;93; 4 282    ;325;26;47;818;223;440; 5 111    ; 39 541    ;694; 5 768    ;8;151;89;-    ; 1 588    ;.    ;4629;3;-    ;282;36;10;14;3; 2 702    ;269
Barmbek-Süd; 35 218    ; 3 703    ; 4 992    ; 4 721    ; 9 518    ; 1 691    ; 24 039    ; 16 571    ; 2 560    ;736; 11 391    ;413;323; 5 109    ; 4 893    ;216; 17 672    ; 1 211    ;71;210; 2 393    ;457; 1 578    ; 19 291    ; 32 679    ; 2 110    ; 22 141    ;121;119;721;6;877;.    ;4504;26;3;893;54;22;26;7; 9 992    ;284
Dulsberg; 17 442    ; 2 169    ; 2 204    ; 3 767    ; 7 478    ; 1 550    ; 12 004    ; 8 522    ; 1 354    ;584; 14 229    ;172;138; 2 344    ; 2 295    ;49; 8 160    ; 1 137    ;78;191; 3 026    ;745; 1 766    ; 8 895    ; 21 239    ; 1 074    ; 10 743    ;-    ;39; 1 077    ;573;799;.    ;3057;8;-    ;700;24;7;7;3; 3 870    ;222
Barmbek-Nord; 41 892    ; 4 304    ; 5 491    ; 5 558    ; 11 292    ; 2 010    ; 29 252    ; 20 637    ; 2 958    ;808; 10 878    ;511;404; 5 767    ; 5 553    ;214; 21 726    ; 1 643    ;112;304; 3 463    ;631; 2 371    ; 23 386    ; 28 330    ; 2 682    ; 26 708    ;83;278; 1 032    ;174;840;.    ;3820;13;2;998;97;28;37;13; 11 164    ;266
Ohlsdorf; 16 471    ; 2 739    ; 2 689    ; 1 996    ; 3 999    ;987; 9 289    ; 5 191    ; 1 675    ;354; 2 300    ;188;151; 2 285    ; 1 780    ;505; 6 740    ;463;34;84; 1 179    ;317;680; 9 124    ; 39 049    ; 2 373    ; 8 315    ;133; 1 678    ;335;-    ;696; 4 119    ;3873;11;1;792;13;7;7;3; 5 561    ;338
Fuhlsbüttel; 12 701    ; 1 975    ; 2 530    ; 1 606    ; 2 948    ;669; 7 162    ; 3 903    ; 1 233    ;291; 1 634    ;136;105; 1 540    ; 1 487    ;53; 5 173    ;324;23;64;919;227;535; 6 490    ; 39 526    ; 2 060    ; 6 748    ;12; 1 513    ;169;29;590; 4 012    ;3301;7;2;594;24;5;15;4; 4 751    ;374
Langenhorn; 45 888    ; 8 019    ; 8 882    ; 7 017    ; 14 308    ; 3 649    ; 23 379    ; 11 303    ; 4 735    ; 1 212    ; 3 433    ;576;479; 5 158    ; 4 986    ;172; 17 339    ; 1 597    ;165;307; 4 917    ; 1 429    ; 2 499    ; 20 892    ; 30 965    ; 9 310    ; 21 569    ;335; 8 409    ; 1 833    ;289;356; 2 964    ;3319;25;6; 2 401    ;89;22;20;8; 16 637    ;363
Eilbek; 21 964    ; 2 551    ; 3 350    ; 3 342    ; 6 851    ; 1 373    ; 14 479    ; 9 507    ; 1 688    ;413; 12 541    ;291;171; 3 318    ; 2 958    ;360; 10 675    ;736;51;137; 1 630    ;402;939; 12 199    ; 32 559    ; 1 552    ; 13 289    ;81;199;436;86; 1 000    ;.    ;3976;13;3;634;35;12;24;3; 6 268    ;285
